Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,Temperature
2007,1,1,0,30,32,23,125,73.06,990,1.7000000000000002,270,1.2000000000000002,11.100000000000001
2007,1,1,1,30,0,0,0,82.41,991,1.4000000000000001,276,1.2000000000000002,9.9
2007,1,1,2,30,0,0,0,86.42,991,1.4000000000000001,288,1.2000000000000002,9.5
2007,1,1,3,30,0,0,0,88.49,991,1.3,303,1.1,9.1
2007,1,1,4,30,0,0,0,89.16,990,1.3,323,1,8.6
2007,1,1,5,30,0,0,0,88.85000000000001,990,1.4000000000000001,345,1,7.9
2007,1,1,6,30,0,0,0,87.32000000000001,990,1.7000000000000002,185,0.9,7.2
2007,1,1,7,30,0,0,0,85.36,989,2.1,20,0.9,6.7
2007,1,1,8,30,0,0,0,83.81,989,2.6,25,0.8,6.300000000000001
2007,1,1,9,30,0,0,0,83.8,988,3.3000000000000003,25,0.8,5.9
2007,1,1,10,30,0,0,0,85.62,988,3.7,25,0.8,5.4
2007,1,1,11,30,0,0,0,87.21000000000001,988,4,26,0.8,5
2007,1,1,12,30,0,0,0,88.2,988,4.2,28,0.8,4.800000000000001
2007,1,1,13,30,0,0,0,87.4,988,4.5,31,0.8,4.9
2007,1,1,14,30,0,0,0,81.05,988,4.800000000000001,33,0.8,5.6000000000000005
2007,1,1,15,30,59,29,355,67.3,988,4.9,34,0.8,7.6000000000000005
2007,1,1,16,30,234,57,694,51.47,988,5,34,0.7000000000000001,10.9
2007,1,1,17,30,397,70,831,37.84,988,5.2,35,0.7000000000000001,14.3
2007,1,1,18,30,516,78,893,29.09,988,4.9,37,0.7000000000000001,16.8
2007,1,1,19,30,578,80,923,26.77,987,4.1000000000000005,37,0.7000000000000001,18.3
2007,1,1,20,30,575,79,926,23.95,986,3.7,33,0.7000000000000001,19
2007,1,1,21,30,508,75,899,23.580000000000002,986,3.8000000000000003,29,0.7000000000000001,19.200000000000003
2007,1,1,22,30,385,65,840,26.080000000000002,986,3.9000000000000004,29,0.7000000000000001,18.6
2007,1,1,23,30,219,50,711,28.75,986,3.8000000000000003,30,0.7000000000000001,18.2
2007,1,2,0,30,46,22,357,41.28,986,2.4000000000000004,30,0.7000000000000001,13.9
2007,1,2,1,30,0,0,0,45.52,987,2.3000000000000003,26,0.7000000000000001,12.3
2007,1,2,2,30,0,0,0,47.59,987,2.3000000000000003,20,0.6000000000000001,11.5
2007,1,2,3,30,0,0,0,48.46,987,2.5,15,0.6000000000000001,11
2007,1,2,4,30,0,0,0,48.31,988,2.8000000000000003,14,0.6000000000000001,10.600000000000001
2007,1,2,5,30,0,0,0,47.4,988,3.2,19,0.6000000000000001,10.4
2007,1,2,6,30,0,0,0,45.56,988,3.7,25,0.6000000000000001,10.600000000000001
2007,1,2,7,30,0,0,0,43.94,988,4.1000000000000005,29,0.6000000000000001,10.8
2007,1,2,8,30,0,0,0,42.99,988,4.1000000000000005,31,0.6000000000000001,10.700000000000001
2007,1,2,9,30,0,0,0,42.57,988,4,34,0.6000000000000001,10.5
2007,1,2,10,30,0,0,0,42.65,987,3.8000000000000003,36,0.6000000000000001,10.200000000000001
2007,1,2,11,30,0,0,0,43.480000000000004,987,3.3000000000000003,33,0.6000000000000001,9.700000000000001
2007,1,2,12,30,0,0,0,44.86,988,2.9000000000000004,26,0.7000000000000001,9.1
2007,1,2,13,30,0,0,0,45.47,988,2.9000000000000004,22,0.7000000000000001,8.8
2007,1,2,14,30,0,0,0,44.15,989,3.3000000000000003,23,0.7000000000000001,9.200000000000001
2007,1,2,15,30,41,30,117,38.99,990,4.1000000000000005,27,0.7000000000000001,11.3
2007,1,2,16,30,221,49,675,31.82,991,4.7,32,0.7000000000000001,14.4
2007,1,2,17,30,403,61,866,26.89,990,4.9,39,0.8,17.400000000000002
2007,1,2,18,30,521,70,917,24.310000000000002,990,4.5,44,0.8,19.8
2007,1,2,19,30,579,74,934,20.56,988,3.5,49,0.9,21.400000000000002
2007,1,2,20,30,548,77,877,17.09,988,2.4000000000000004,35,0.9,22.3
2007,1,2,21,30,380,184,405,18.04,988,2,184,0.9,22.1
