Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,Temperature
2000,1,1,0,30,10,10,0,75.21000000000001,986,1.8,253,1.5,9.600000000000001
2000,1,1,1,30,0,0,0,82.31,986,1.3,258,1.4000000000000001,8.700000000000001
2000,1,1,2,30,0,0,0,85.92,986,1.3,262,1.4000000000000001,8.3
2000,1,1,3,30,0,0,0,86.38,986,1.5,266,1.3,8.4
2000,1,1,4,30,0,0,0,86.55,986,1.7000000000000002,269,1.3,8.5
2000,1,1,5,30,0,0,0,87.4,986,1.9000000000000001,271,1.3,8.4
2000,1,1,6,30,0,0,0,88.39,986,1.8,271,1.4000000000000001,8.200000000000001
2000,1,1,7,30,0,0,0,89.95,986,1.8,267,1.4000000000000001,7.9
2000,1,1,8,30,0,0,0,91.74,986,1.8,266,1.4000000000000001,7.7
2000,1,1,9,30,0,0,0,92.78,986,1.8,267,1.3,7.800000000000001
2000,1,1,10,30,0,0,0,93.93,985,1.7000000000000002,273,1.3,7.800000000000001
2000,1,1,11,30,0,0,0,94.15,985,1.4000000000000001,286,1.2000000000000002,7.6000000000000005
2000,1,1,12,30,0,0,0,93.75,985,1.1,303,1.1,7.300000000000001
2000,1,1,13,30,0,0,0,92.82000000000001,986,0.9,311,1.1,7.1000000000000005
2000,1,1,14,30,0,0,0,91.11,986,0.8,309,1.1,7.1000000000000005
2000,1,1,15,30,54,35,221,86.38,987,1,296,1.1,7.800000000000001
2000,1,1,16,30,54,54,0,81.5,988,1.5,279,1.1,8.700000000000001
2000,1,1,17,30,302,137,420,73.98,989,2.2,267,1.1,10
2000,1,1,18,30,356,206,306,66.19,988,2.8000000000000003,257,1.1,11.4
2000,1,1,19,30,296,244,96,60.22,988,3.1,247,1.1,12.4
2000,1,1,20,30,238,219,36,58.69,987,3.5,241,1.1,12.700000000000001
2000,1,1,21,30,323,212,231,59.86,987,3.5,238,1.1,12.600000000000001
2000,1,1,22,30,301,122,472,63.620000000000005,987,3.4000000000000004,239,1.1,12
2000,1,1,23,30,63,63,0,66.8,987,3.2,241,1.2000000000000002,11.600000000000001
2000,1,2,0,30,21,21,0,76.63,987,2.6,227,1.1,10.100000000000001
2000,1,2,1,30,0,0,0,83.01,987,2.8000000000000003,229,1.2000000000000002,9.700000000000001
2000,1,2,2,30,0,0,0,85.2,987,3.2,238,1.2000000000000002,9.700000000000001
2000,1,2,3,30,0,0,0,85.92,987,3.4000000000000004,247,1.2000000000000002,9.8
