Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,Temperature
2016,1,1,0,30,44,22,345,43.81,988,1.2000000000000002,25,0.6000000000000001,10.8
2016,1,1,1,30,0,0,0,45.62,988,1.7000000000000002,27,0.6000000000000001,9.200000000000001
2016,1,1,2,30,0,0,0,42.69,988,2.4000000000000004,36,0.6000000000000001,8.4
2016,1,1,3,30,0,0,0,42.62,989,3.1,45,0.6000000000000001,7.7
2016,1,1,4,30,0,0,0,42.68,989,3.5,51,0.5,7.1000000000000005
2016,1,1,5,30,0,0,0,42.52,989,3.8000000000000003,53,0.5,6.6000000000000005
2016,1,1,6,30,0,0,0,42.67,989,3.9000000000000004,55,0.5,6.2
2016,1,1,7,30,0,0,0,43.04,989,4,56,0.5,5.9
2016,1,1,8,30,0,0,0,43.47,989,4,56,0.5,5.7
2016,1,1,9,30,0,0,0,43.44,989,4.2,56,0.5,5.7
2016,1,1,10,30,0,0,0,43.45,989,4.3,56,0.5,5.7
2016,1,1,11,30,0,0,0,44.34,989,4.4,55,0.5,5.5
2016,1,1,12,30,0,0,0,44.86,989,4.6000000000000005,54,0.5,5.4
2016,1,1,13,30,0,0,0,45.37,989,4.7,54,0.6000000000000001,5.300000000000001
2016,1,1,14,30,0,0,0,44.97,989,5,54,0.6000000000000001,5.6000000000000005
2016,1,1,15,30,64,27,420,41.46,990,5.5,55,0.6000000000000001,7
2016,1,1,16,30,239,53,726,35.45,990,5.7,59,0.7000000000000001,9.5
2016,1,1,17,30,402,67,851,29.09,990,4.800000000000001,68,0.7000000000000001,12.100000000000001
2016,1,1,18,30,522,72,917,23.900000000000002,990,3.4000000000000004,81,0.7000000000000001,14.200000000000001
2016,1,1,19,30,579,76,933,21.36,989,2.2,96,0.8,15.5
2016,1,1,20,30,575,76,931,20.38,988,1.2000000000000002,114,0.8,16.2
2016,1,1,21,30,507,74,898,20.36,988,0.5,144,0.8,16.3
