Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,Temperature
2022,1,1,0,30,44,28,248,84.66,981,2.4000000000000004,277,1.1,11.100000000000001
2022,1,1,1,30,0,0,0,89.43,981,2.2,296,1,9.700000000000001
2022,1,1,2,30,0,0,0,91.81,982,2.4000000000000004,319,0.9,8.9
2022,1,1,3,30,0,0,0,91.72,982,2.7,339,0.7000000000000001,8.1
2022,1,1,4,30,0,0,0,89.89,983,2.7,351,0.6000000000000001,7.4
2022,1,1,5,30,0,0,0,87.72,984,2.7,179,0.6000000000000001,6.7
2022,1,1,6,30,0,0,0,85.5,985,2.8000000000000003,6,0.5,6.2
2022,1,1,7,30,0,0,0,83.89,986,2.9000000000000004,11,0.5,5.800000000000001
2022,1,1,8,30,0,0,0,83.59,987,2.9000000000000004,15,0.6000000000000001,5.4
2022,1,1,9,30,0,0,0,83.19,988,2.8000000000000003,23,0.6000000000000001,5.1000000000000005
2022,1,1,10,30,0,0,0,81.3,988,2.7,32,0.5,4.9
2022,1,1,11,30,0,0,0,78.52,989,2.6,39,0.5,4.7
2022,1,1,12,30,0,0,0,75.61,990,2.6,45,0.5,4.5
2022,1,1,13,30,0,0,0,71.99,991,2.5,51,0.4,4.4
2022,1,1,14,30,0,0,0,65.27,992,2.5,58,0.4,4.9
2022,1,1,15,30,69,27,483,57.09,993,3,60,0.4,7
2022,1,1,16,30,247,48,779,48.230000000000004,994,3.9000000000000004,60,0.5,9.5
2022,1,1,17,30,411,59,892,39.32,995,4.3,60,0.5,11.4
2022,1,1,18,30,531,70,939,34.1,995,4.1000000000000005,62,0.5,13
2022,1,1,19,30,588,73,953,30.87,994,3.4000000000000004,66,0.6000000000000001,14.100000000000001
2022,1,1,20,30,579,88,915,28.93,994,2.6,70,0.6000000000000001,14.700000000000001
2022,1,1,21,30,513,74,908,32.44,994,1.9000000000000001,73,0.6000000000000001,14.9
2022,1,1,22,30,385,68,831,35.68,994,1,75,0.7000000000000001,14.4
