Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,Temperature
2017,1,1,0,30,9,9,0,89.47,979,3.3000000000000003,251,1.8,10.3
2017,1,1,1,30,0,0,0,89.12,980,3.4000000000000004,265,1.7000000000000002,9.600000000000001
2017,1,1,2,30,0,0,0,87.58,980,3.4000000000000004,280,1.5,8.9
2017,1,1,3,30,0,0,0,86,980,3.1,295,1.4000000000000001,8.4
2017,1,1,4,30,0,0,0,86.36,980,2.5,309,1.2000000000000002,7.7
2017,1,1,5,30,0,0,0,86.38,980,1.9000000000000001,319,1.1,7
2017,1,1,6,30,0,0,0,85.88,980,1.7000000000000002,322,1,6.5
2017,1,1,7,30,0,0,0,85.24,980,1.7000000000000002,315,1.1,6.2
2017,1,1,8,30,0,0,0,83.9,980,2.1,306,1.2000000000000002,6.2
2017,1,1,9,30,0,0,0,83.19,980,2.4000000000000004,305,1.4000000000000001,6.4
2017,1,1,10,30,0,0,0,82.9,980,2.4000000000000004,312,1.5,6.6000000000000005
2017,1,1,11,30,0,0,0,84.55,980,2.2,321,1.4000000000000001,6.4
2017,1,1,12,30,0,0,0,86.12,980,2.1,331,1.3,6
2017,1,1,13,30,0,0,0,87.56,980,2,342,1.2000000000000002,5.7
2017,1,1,14,30,0,0,0,85.5,980,2.1,176,1.1,5.9
2017,1,1,15,30,56,34,245,80.72,981,2.5,8,1,7.1000000000000005
2017,1,1,16,30,222,74,580,73.22,981,2.2,6,1,9
2017,1,1,17,30,382,94,730,64.36,982,1.6,138,1,11
2017,1,1,18,30,509,84,864,56.42,982,2.5,268,1,12.8
2017,1,1,19,30,567,91,881,52.89,982,3.4000000000000004,261,1,13.8
2017,1,1,20,30,563,93,875,52.230000000000004,981,3.6,256,1,14.200000000000001
2017,1,1,21,30,498,86,852,53.160000000000004,981,3.5,248,1,14.100000000000001
2017,1,1,22,30,206,163,113,57.09,981,3.6,240,1.1,13.3
2017,1,1,23,30,134,93,171,61.15,981,3.6,237,1.1,12.8
2017,1,2,0,30,29,25,66,80.13,982,2,224,1.1,9.700000000000001
