Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,Temperature
2005,1,1,0,30,44,24,302,83.58,983,1.9000000000000001,255,0.9,9.9
2005,1,1,1,30,0,0,0,87.44,984,1.6,252,0.9,8.9
2005,1,1,2,30,0,0,0,89.26,984,1.5,251,0.9,8.6
2005,1,1,3,30,0,0,0,89.82000000000001,985,1.4000000000000001,251,0.9,8.5
2005,1,1,4,30,0,0,0,88.72,985,1.4000000000000001,254,0.9,8.6
2005,1,1,5,30,0,0,0,86.58,985,1.3,259,0.9,8.8
2005,1,1,6,30,0,0,0,85.23,985,1.3,263,0.9,8.8
2005,1,1,7,30,0,0,0,84.13,985,1.3,265,0.9,8.700000000000001
2005,1,1,8,30,0,0,0,82.14,985,1.3,267,0.9,8.6
2005,1,1,9,30,0,0,0,80.79,986,1.3,267,0.9,8.5
2005,1,1,10,30,0,0,0,79.55,986,1.3,268,0.9,8.4
2005,1,1,11,30,0,0,0,78.76,986,1.2000000000000002,268,0.9,8.200000000000001
2005,1,1,12,30,0,0,0,78.09,986,1.1,266,0.9,8
2005,1,1,13,30,0,0,0,76.67,986,1,262,0.9,8
2005,1,1,14,30,0,0,0,74.69,987,0.8,255,0.9,8.200000000000001
2005,1,1,15,30,59,30,339,71.75,987,0.7000000000000001,240,1,9
2005,1,1,16,30,230,60,665,70.36,987,0.9,228,1,10.200000000000001
2005,1,1,17,30,390,74,801,64.81,988,1.2000000000000002,225,1.1,11.100000000000001
2005,1,1,18,30,507,79,872,61.43,987,1.5,222,1.2000000000000002,11.8
2005,1,1,19,30,349,249,186,60.24,987,1.8,220,1.3,12.200000000000001
2005,1,1,20,30,174,172,4,61.15,986,2,220,1.3,12.200000000000001
2005,1,1,21,30,310,216,195,62.93,986,2,223,1.4000000000000001,12
2005,1,1,22,30,91,91,0,65.42,986,1.9000000000000001,229,1.4000000000000001,11.600000000000001
2005,1,1,23,30,134,92,172,67.56,986,1.8,233,1.4000000000000001,11.3
2005,1,2,0,30,15,15,0,81.32000000000001,986,1,253,1.4000000000000001,9.5
2005,1,2,1,30,0,0,0,84.2,986,1,264,1.4000000000000001,8.700000000000001
2005,1,2,2,30,0,0,0,84.59,986,0.9,266,1.4000000000000001,8.5
2005,1,2,3,30,0,0,0,84.08,986,0.8,259,1.4000000000000001,8.5
2005,1,2,4,30,0,0,0,83.4,987,0.8,254,1.4000000000000001,8.6
2005,1,2,5,30,0,0,0,83.66,987,0.8,264,1.4000000000000001,8.6
2005,1,2,6,30,0,0,0,83.77,987,0.8,282,1.4000000000000001,8.700000000000001
2005,1,2,7,30,0,0,0,83.9,987,0.8,297,1.4000000000000001,8.8
2005,1,2,8,30,0,0,0,84.09,986,0.7000000000000001,312,1.3,8.8
2005,1,2,9,30,0,0,0,83.68,986,0.6000000000000001,337,1.3,8.9
2005,1,2,10,30,0,0,0,84.34,986,0.6000000000000001,199,1.3,8.700000000000001
2005,1,2,11,30,0,0,0,85.53,986,0.7000000000000001,57,1.3,8.4
2005,1,2,12,30,0,0,0,86.82000000000001,985,0.9,79,1.3,8
2005,1,2,13,30,0,0,0,87.36,985,1.1,92,1.3,7.800000000000001
2005,1,2,14,30,0,0,0,86,985,1.2000000000000002,101,1.3,8
2005,1,2,15,30,35,30,58,82.88,985,1.6,108,1.3,8.9
2005,1,2,16,30,207,60,576,79.59,986,2.1,123,1.3,10.100000000000001
2005,1,2,17,30,323,120,515,77.35000000000001,986,2.3000000000000003,150,1.4000000000000001,11
2005,1,2,18,30,247,213,69,75.10000000000001,986,2.6,174,1.4000000000000001,11.700000000000001
2005,1,2,19,30,324,250,138,72.93,985,3,191,1.5,12.100000000000001
2005,1,2,20,30,122,122,0,72.91,984,3.3000000000000003,200,1.5,12.200000000000001
2005,1,2,21,30,150,150,0,74.76,984,3.4000000000000004,204,1.6,12
2005,1,2,22,30,17,17,0,77.73,984,3.1,204,1.6,11.600000000000001
2005,1,2,23,30,18,18,0,79.39,983,3,202,1.6,11.4
2005,1,3,0,30,17,17,0,88.31,984,1.8,186,1.7000000000000002,10.200000000000001
2005,1,3,1,30,0,0,0,89.58,984,1.8,173,1.7000000000000002,9.9
2005,1,3,2,30,0,0,0,90.82000000000001,984,2.1,166,1.8,9.8
2005,1,3,3,30,0,0,0,90.69,984,2.5,162,1.9000000000000001,9.8
2005,1,3,4,30,0,0,0,90.75,984,2.9000000000000004,158,1.9000000000000001,9.8
2005,1,3,5,30,0,0,0,90.58,984,3.2,153,1.9000000000000001,9.8
2005,1,3,6,30,0,0,0,91.27,984,3.4000000000000004,151,1.9000000000000001,9.700000000000001
2005,1,3,7,30,0,0,0,90.89,983,3.6,150,1.9000000000000001,9.8
2005,1,3,8,30,0,0,0,90.79,982,3.8000000000000003,149,1.9000000000000001,9.9
2005,1,3,9,30,0,0,0,90.71000000000001,982,4.2,149,1.9000000000000001,10
2005,1,3,10,30,0,0,0,90.95,981,4.3,149,1.9000000000000001,9.9
2005,1,3,11,30,0,0,0,90.9,980,4.3,147,1.9000000000000001,9.8
2005,1,3,12,30,0,0,0,90.95,980,4.4,144,1.9000000000000001,9.8
2005,1,3,13,30,0,0,0,90.42,980,4.7,138,1.9000000000000001,10
2005,1,3,14,30,0,0,0,90.93,980,5.1000000000000005,131,1.9000000000000001,10.100000000000001
2005,1,3,15,30,16,16,0,90.35000000000001,980,5.300000000000001,126,1.9000000000000001,10.3
2005,1,3,16,30,33,33,0,89.39,980,5.300000000000001,127,1.9000000000000001,10.5
2005,1,3,17,30,208,169,98,87.99,980,5,133,1.9000000000000001,10.8
2005,1,3,18,30,47,47,0,87.9,980,4.2,142,1.9000000000000001,10.9
2005,1,3,19,30,378,245,245,87.34,979,3.2,157,1.9000000000000001,11
2005,1,3,20,30,118,118,0,86.73,978,2.4000000000000004,178,1.8,11
2005,1,3,21,30,117,117,0,84.79,977,2.1,197,1.7000000000000002,11.200000000000001
2005,1,3,22,30,272,150,314,83.95,977,1.9000000000000001,213,1.6,11.200000000000001
2005,1,3,23,30,24,24,0,83.5,977,1.8,221,1.6,11.100000000000001
2005,1,4,0,30,15,15,0,89.53,977,1.2000000000000002,247,1.4000000000000001,10
2005,1,4,1,30,0,0,0,88.4,977,1.2000000000000002,254,1.3,9.3
2005,1,4,2,30,0,0,0,86.71000000000001,977,1.3,257,1.2000000000000002,8.9
2005,1,4,3,30,0,0,0,85.02,977,1.3,258,1.1,8.6
2005,1,4,4,30,0,0,0,82.29,977,1.3,261,1.1,8.5
2005,1,4,5,30,0,0,0,80.28,977,1.1,267,1,8.4
2005,1,4,6,30,0,0,0,78.41,977,0.9,277,1,8.4
2005,1,4,7,30,0,0,0,77.72,976,0.7000000000000001,286,1,8.3
2005,1,4,8,30,0,0,0,77.59,976,0.30000000000000004,322,1,8.1
2005,1,4,9,30,0,0,0,78.76,976,0.30000000000000004,207,1,7.7
2005,1,4,10,30,0,0,0,80,975,0.5,56,1,7.2
2005,1,4,11,30,0,0,0,81.13,975,0.6000000000000001,60,1.1,6.9
2005,1,4,12,30,0,0,0,81.92,975,0.6000000000000001,68,1.1,6.7
2005,1,4,13,30,0,0,0,82.22,976,0.5,70,1.1,6.6000000000000005
2005,1,4,14,30,0,0,0,81.82000000000001,976,0.30000000000000004,60,1.1,6.6000000000000005
2005,1,4,15,30,21,21,0,79.12,977,0.2,177,1.1,7.300000000000001
2005,1,4,16,30,143,100,166,78.03,978,0.7000000000000001,293,1.1,8.3
2005,1,4,17,30,260,164,242,74.03,978,1.5,285,1,9.200000000000001
2005,1,4,18,30,104,104,0,68.78,979,2.1,285,1,9.9
2005,1,4,19,30,24,24,0,63.35,979,2.7,282,1,10.5
2005,1,4,20,30,282,241,75,60.64,979,3.2,280,1.1,10.8
2005,1,4,21,30,220,200,40,60.96,979,3.5,280,1.1,10.8
2005,1,4,22,30,291,140,387,63.230000000000004,980,3.3000000000000003,279,1.1,10.5
2005,1,4,23,30,168,83,344,65.82000000000001,980,3.1,279,1.2000000000000002,10.3
2005,1,5,0,30,28,26,27,80.47,981,1.9000000000000001,269,1.1,8.4
2005,1,5,1,30,0,0,0,80.32000000000001,983,1.8,264,1.1,7.7
2005,1,5,2,30,0,0,0,79.48,983,1.8,265,1,7.5
2005,1,5,3,30,0,0,0,78.93,984,1.7000000000000002,272,1,7.5
2005,1,5,4,30,0,0,0,77.92,985,1.5,283,1,7.6000000000000005
2005,1,5,5,30,0,0,0,76.8,986,1.1,301,1,7.7
2005,1,5,6,30,0,0,0,76.78,986,0.7000000000000001,328,1,7.5
2005,1,5,7,30,0,0,0,77.29,987,0.5,187,1,7.1000000000000005
2005,1,5,8,30,0,0,0,78.24,987,0.6000000000000001,40,1,6.6000000000000005
2005,1,5,9,30,0,0,0,79.68,988,0.9,47,1,6.2
2005,1,5,10,30,0,0,0,82.62,988,1.1,47,1,5.7
2005,1,5,11,30,0,0,0,85.55,988,1.4000000000000001,50,1,5.2
2005,1,5,12,30,0,0,0,88.21000000000001,989,1.6,56,0.9,4.800000000000001
2005,1,5,13,30,0,0,0,90.15,990,1.7000000000000002,61,0.9,4.6000000000000005
2005,1,5,14,30,0,0,0,88.29,991,1.5,66,0.9,4.9
