Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,Temperature
2002,1,1,0,30,20,20,0,80.83,987,1.9000000000000001,260,1.3,13.4
2002,1,1,1,30,0,0,0,86.91,987,1.6,265,1.3,12.600000000000001
2002,1,1,2,30,0,0,0,90.5,988,1,277,1.2000000000000002,12.3
2002,1,1,3,30,0,0,0,92.21000000000001,988,0.6000000000000001,291,1.2000000000000002,12
2002,1,1,4,30,0,0,0,93.05,988,0.4,317,1.3,11.700000000000001
2002,1,1,5,30,0,0,0,94.21000000000001,988,0.4,170,1.3,11.3
2002,1,1,6,30,0,0,0,96.78,988,0.8,12,1.3,10.600000000000001
2002,1,1,7,30,0,0,0,99.35000000000001,988,1,24,1.3,9.8
2002,1,1,8,30,0,0,0,100,988,1.2000000000000002,32,1.2000000000000002,9.1
2002,1,1,9,30,0,0,0,100,988,1.4000000000000001,35,1.3,8.6
2002,1,1,10,30,0,0,0,100,987,1.6,37,1.3,8.1
2002,1,1,11,30,0,0,0,99.39,987,1.8,42,1.3,7.800000000000001
2002,1,1,12,30,0,0,0,96.3,987,2.1,50,1.4000000000000001,7.7
2002,1,1,13,30,0,0,0,91.84,988,2.3000000000000003,57,1.5,7.800000000000001
2002,1,1,14,30,0,0,0,84.53,988,2.4000000000000004,62,1.5,8.4
2002,1,1,15,30,18,18,0,72.23,989,2.8000000000000003,65,1.6,10.4
2002,1,1,16,30,103,96,25,62.940000000000005,989,2.8000000000000003,72,1.7000000000000002,12.8
2002,1,1,17,30,172,157,39,56.95,989,2.1,93,1.8,15.100000000000001
2002,1,1,18,30,340,213,257,51.54,988,1.5,133,1.8,17
2002,1,1,19,30,450,197,470,49.78,988,1.4000000000000001,173,1.8,18
2002,1,1,20,30,409,225,343,49.68,987,1.5,192,1.8,18.3
2002,1,1,21,30,330,210,250,50.85,987,1.4000000000000001,197,1.8,18.1
2002,1,1,22,30,272,144,336,53.74,987,1.3,209,1.8,17.400000000000002
2002,1,1,23,30,172,72,421,58.78,987,1.1,217,1.8,16.900000000000002
2002,1,2,0,30,41,25,243,71.77,987,0.7000000000000001,244,1.7000000000000002,13.9
2002,1,2,1,30,0,0,0,76.09,987,0.4,136,1.7000000000000002,12.9
2002,1,2,2,30,0,0,0,80.35000000000001,988,0.5,34,1.7000000000000002,12.200000000000001
2002,1,2,3,30,0,0,0,81.38,988,0.8,60,1.6,11.8
2002,1,2,4,30,0,0,0,79.87,988,0.9,75,1.6,11.8
2002,1,2,5,30,0,0,0,80.16,988,1.1,80,1.6,11.5
2002,1,2,6,30,0,0,0,80.46000000000001,987,1.2000000000000002,81,1.5,11.200000000000001
2002,1,2,7,30,0,0,0,81.10000000000001,988,1.3,80,1.5,10.9
2002,1,2,8,30,0,0,0,80.86,988,1.4000000000000001,77,1.4000000000000001,10.8
2002,1,2,9,30,0,0,0,79.38,987,1.4000000000000001,71,1.4000000000000001,10.8
2002,1,2,10,30,0,0,0,77.07000000000001,987,1.3,67,1.3,10.8
2002,1,2,11,30,0,0,0,74.21000000000001,987,1.2000000000000002,65,1.3,10.8
2002,1,2,12,30,0,0,0,71.03,987,1.1,67,1.2000000000000002,10.8
2002,1,2,13,30,0,0,0,69.55,987,1.1,74,1.2000000000000002,10.5
2002,1,2,14,30,0,0,0,67.23,987,1.2000000000000002,84,1.2000000000000002,10.5
2002,1,2,15,30,36,30,62,62.64,987,1.3,91,1.2000000000000002,11.600000000000001
