Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,Temperature
2014,1,1,0,30,26,24,43,44.5,988,1.5,263,0.9,15.600000000000001
2014,1,1,1,30,0,0,0,49.89,989,1,289,0.9,14.200000000000001
2014,1,1,2,30,0,0,0,54.26,989,0.7000000000000001,324,1,13.4
2014,1,1,3,30,0,0,0,56.26,989,0.7000000000000001,170,1,12.9
2014,1,1,4,30,0,0,0,56.61,990,0.8,9,1,12.5
2014,1,1,5,30,0,0,0,57.730000000000004,989,1,23,1,11.8
2014,1,1,6,30,0,0,0,57.58,989,1.1,33,1,11.200000000000001
2014,1,1,7,30,0,0,0,55.88,989,1.4000000000000001,42,1,10.8
2014,1,1,8,30,0,0,0,53.120000000000005,988,1.6,49,1,10.5
2014,1,1,9,30,0,0,0,49.1,988,1.6,49,1,10.4
2014,1,1,10,30,0,0,0,45.06,988,1.7000000000000002,46,1,10.3
2014,1,1,11,30,0,0,0,41.94,988,2,44,0.9,10.100000000000001
2014,1,1,12,30,0,0,0,39.64,989,2.3000000000000003,45,0.9,10
2014,1,1,13,30,0,0,0,38.09,989,2.8000000000000003,48,0.9,9.9
2014,1,1,14,30,0,0,0,35.53,989,3.3000000000000003,51,0.9,10.5
2014,1,1,15,30,61,26,405,31.85,990,3.8000000000000003,52,0.8,12.600000000000001
2014,1,1,16,30,236,52,721,27.13,990,3.7,53,0.8,15.5
2014,1,1,17,30,398,65,847,24.28,990,2.9000000000000004,61,0.8,18.5
2014,1,1,18,30,520,72,912,22.66,990,2.1,78,0.7000000000000001,21.3
2014,1,1,19,30,580,76,934,20.12,989,1.4000000000000001,97,0.7000000000000001,22.8
2014,1,1,20,30,573,77,923,20.94,988,0.7000000000000001,114,0.8,23.3
2014,1,1,21,30,505,74,894,22.23,988,0.30000000000000004,124,0.8,23.200000000000003
2014,1,1,22,30,381,67,825,24.7,988,0.30000000000000004,198,0.8,22.1
2014,1,1,23,30,215,53,681,33.34,988,0.5,269,0.8,21.200000000000003
2014,1,2,0,30,44,23,320,44.910000000000004,988,0.8,327,0.9,16.3
2014,1,2,1,30,0,0,0,50.63,988,1.1,185,0.9,14.5
2014,1,2,2,30,0,0,0,55.13,989,1.4000000000000001,24,0.9,13.8
2014,1,2,3,30,0,0,0,53.94,989,1.6,34,0.9,13.600000000000001
2014,1,2,4,30,0,0,0,50.52,989,1.8,41,1,13.600000000000001
2014,1,2,5,30,0,0,0,48.480000000000004,989,2,46,1,13.5
2014,1,2,6,30,0,0,0,47.34,989,2.1,52,1,13.4
2014,1,2,7,30,0,0,0,46.93,988,2.1,58,1.1,13.200000000000001
2014,1,2,8,30,0,0,0,46.54,988,2.1,65,1.1,13.100000000000001
2014,1,2,9,30,0,0,0,46.730000000000004,988,2,70,1.2000000000000002,13
2014,1,2,10,30,0,0,0,47.54,988,2,70,1.2000000000000002,12.8
2014,1,2,11,30,0,0,0,48.17,988,2.1,65,1.3,12.600000000000001
2014,1,2,12,30,0,0,0,48.18,988,2.3000000000000003,61,1.3,12.5
2014,1,2,13,30,0,0,0,47.82,988,2.5,59,1.3,12.4
2014,1,2,14,30,0,0,0,45.44,989,2.7,58,1.3,13
2014,1,2,15,30,59,27,378,39.56,989,3.3000000000000003,56,1.4000000000000001,15.3
2014,1,2,16,30,229,53,690,33.13,989,3.6,56,1.4000000000000001,18.3
2014,1,2,17,30,388,67,815,28.96,989,3.1,67,1.4000000000000001,20.8
2014,1,2,18,30,505,73,879,24.79,988,2.1,89,1.4000000000000001,23
2014,1,2,19,30,565,77,903,21.54,987,1.1,113,1.4000000000000001,24.3
2014,1,2,20,30,562,76,902,20.12,986,0.6000000000000001,164,1.4000000000000001,24.900000000000002
2014,1,2,21,30,498,70,882,20.25,986,0.6000000000000001,221,1.4000000000000001,24.900000000000002
2014,1,2,22,30,376,63,818,21.94,985,0.8,243,1.4000000000000001,24.1
2014,1,2,23,30,214,49,682,28.53,985,0.9,246,1.4000000000000001,23.3
2014,1,3,0,30,46,22,334,40.050000000000004,986,0.7000000000000001,297,1.4000000000000001,18.7
2014,1,3,1,30,0,0,0,45.65,986,0.8,338,1.4000000000000001,16.6
2014,1,3,2,30,0,0,0,49.11,986,1,189,1.4000000000000001,15.5
2014,1,3,3,30,0,0,0,48.57,986,1.2000000000000002,30,1.4000000000000001,15
2014,1,3,4,30,0,0,0,46.72,986,1.3,45,1.4000000000000001,14.8
2014,1,3,5,30,0,0,0,44.800000000000004,986,1.3,56,1.4000000000000001,14.600000000000001
2014,1,3,6,30,0,0,0,43.480000000000004,986,1.4000000000000001,64,1.4000000000000001,14.4
2014,1,3,7,30,0,0,0,43.300000000000004,986,1.3,71,1.3,14.100000000000001
2014,1,3,8,30,0,0,0,43.660000000000004,986,1.3,75,1.3,13.9
2014,1,3,9,30,0,0,0,44.08,985,1.3,74,1.3,13.8
2014,1,3,10,30,0,0,0,44.1,985,1.2000000000000002,70,1.3,13.700000000000001
2014,1,3,11,30,0,0,0,44.06,985,1.2000000000000002,67,1.3,13.600000000000001
2014,1,3,12,30,0,0,0,43.62,985,1.2000000000000002,64,1.3,13.700000000000001
2014,1,3,13,30,0,0,0,43.77,986,1.2000000000000002,60,1.3,13.700000000000001
2014,1,3,14,30,0,0,0,43.730000000000004,986,1.3,60,1.3,13.9
2014,1,3,15,30,37,30,73,41.44,986,1.3,62,1.3,15.3
2014,1,3,16,30,223,58,648,38.87,987,1.6,68,1.4000000000000001,17.7
2014,1,3,17,30,265,161,262,30.66,986,1.2000000000000002,96,1.4000000000000001,20
2014,1,3,18,30,425,150,559,28.02,985,0.6000000000000001,179,1.4000000000000001,22
2014,1,3,19,30,436,212,413,25.330000000000002,984,1,241,1.5,23.1
2014,1,3,20,30,418,223,361,24.900000000000002,983,1.4000000000000001,247,1.5,23.400000000000002
2014,1,3,21,30,472,106,752,25.93,982,1.7000000000000002,246,1.5,22.900000000000002
2014,1,3,22,30,273,149,322,28.86,982,1.9000000000000001,244,1.5,21.700000000000003
2014,1,3,23,30,162,83,323,35.12,982,1.9000000000000001,243,1.5,20.8
2014,1,4,0,30,30,26,60,49.39,983,1.6,270,1.6,16.8
2014,1,4,1,30,0,0,0,50.9,983,1.4000000000000001,296,1.5,16
2014,1,4,2,30,0,0,0,51.35,983,1.1,323,1.5,15.8
2014,1,4,3,30,0,0,0,51.17,984,0.8,178,1.5,15.700000000000001
2014,1,4,4,30,0,0,0,50.730000000000004,984,0.5,55,1.5,15.600000000000001
2014,1,4,5,30,0,0,0,51.44,984,0.5,122,1.5,15.3
2014,1,4,6,30,0,0,0,55.51,984,0.8,159,1.6,14.700000000000001
2014,1,4,7,30,0,0,0,61.33,984,0.8,169,1.7000000000000002,14
2014,1,4,8,30,0,0,0,66.6,984,0.7000000000000001,170,1.7000000000000002,13.5
2014,1,4,9,30,0,0,0,71.13,983,0.6000000000000001,155,1.7000000000000002,13.100000000000001
2014,1,4,10,30,0,0,0,74.88,983,0.5,124,1.7000000000000002,12.8
2014,1,4,11,30,0,0,0,76.85000000000001,983,0.7000000000000001,94,1.7000000000000002,12.600000000000001
2014,1,4,12,30,0,0,0,78.15,983,0.9,84,1.6,12.3
2014,1,4,13,30,0,0,0,78.56,984,1.1,86,1.6,12
2014,1,4,14,30,0,0,0,76.88,984,1.3,88,1.5,12
2014,1,4,15,30,30,29,7,70.63,984,1.6,82,1.4000000000000001,13.100000000000001
2014,1,4,16,30,131,102,116,61.09,985,1.8,73,1.4000000000000001,15.200000000000001
2014,1,4,17,30,281,153,323,50.120000000000005,985,1.2000000000000002,62,1.4000000000000001,17.3
2014,1,4,18,30,490,94,802,41.53,985,0.7000000000000001,39,1.4000000000000001,19.200000000000003
2014,1,4,19,30,552,97,837,34.52,984,0.6000000000000001,18,1.4000000000000001,20.6
2014,1,4,20,30,479,162,585,31.6,984,0.5,12,1.4000000000000001,21.3
2014,1,4,21,30,416,159,525,31.150000000000002,983,0.4,23,1.3,21.400000000000002
2014,1,4,22,30,299,133,428,33.44,983,0.30000000000000004,119,1.3,20.5
2014,1,4,23,30,161,86,306,38.87,983,0.4,206,1.2000000000000002,19.900000000000002
2014,1,5,0,30,36,27,133,54.84,984,0.6000000000000001,259,1.2000000000000002,15.700000000000001
2014,1,5,1,30,0,0,0,61.85,985,0.6000000000000001,322,1.2000000000000002,13.8
2014,1,5,2,30,0,0,0,65.91,986,0.8,182,1.1,12.8
2014,1,5,3,30,0,0,0,65.29,986,0.8,11,1,12.4
2014,1,5,4,30,0,0,0,64.94,986,0.9,9,0.9,11.9
2014,1,5,5,30,0,0,0,64.22,986,1.1,10,0.8,11.4
2014,1,5,6,30,0,0,0,61.71,987,1.5,20,0.8,11
2014,1,5,7,30,0,0,0,56.18,987,2,31,0.7000000000000001,10.8
2014,1,5,8,30,0,0,0,49.14,987,2.7,38,0.7000000000000001,10.600000000000001
