Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Relative Humidity,Pressure,Wind Speed,Wind Direction,Precipitable Water,Temperature
2021,1,1,0,30,44,26,273,45.07,988,1.9000000000000001,15,0.8,13
2021,1,1,1,30,0,0,0,51.29,989,1.8,8,0.9,11.700000000000001
2021,1,1,2,30,0,0,0,56.08,989,2.1,3,0.9,11.200000000000001
2021,1,1,3,30,0,0,0,60.93,990,2.9000000000000004,6,0.9,10.700000000000001
2021,1,1,4,30,0,0,0,62.47,990,3.6,13,0.9,10.200000000000001
2021,1,1,5,30,0,0,0,63.58,990,3.9000000000000004,19,0.9,9.700000000000001
2021,1,1,6,30,0,0,0,62.29,990,4,23,0.9,9.4
2021,1,1,7,30,0,0,0,58.81,990,3.9000000000000004,26,0.8,9.200000000000001
2021,1,1,8,30,0,0,0,54.93,990,3.7,26,0.8,9
2021,1,1,9,30,0,0,0,52.34,990,3.5,23,0.8,8.8
2021,1,1,10,30,0,0,0,51.22,991,3.4000000000000004,22,0.8,8.700000000000001
2021,1,1,11,30,0,0,0,50.85,991,3.4000000000000004,24,0.8,8.6
2021,1,1,12,30,0,0,0,50.6,991,3.5,28,0.7000000000000001,8.5
2021,1,1,13,30,0,0,0,50.43,992,3.5,32,0.7000000000000001,8.4
2021,1,1,14,30,0,0,0,48.7,992,3.6,36,0.7000000000000001,8.8
2021,1,1,15,30,67,27,461,43.9,993,4.1000000000000005,37,0.6000000000000001,10.600000000000001
2021,1,1,16,30,244,48,768,37.19,994,4.7,40,0.6000000000000001,13.4
2021,1,1,17,30,409,59,888,31.54,994,4.800000000000001,46,0.6000000000000001,15.9
2021,1,1,18,30,528,68,937,28.71,994,4,49,0.6000000000000001,17.6
2021,1,1,19,30,586,71,953,25.6,993,3,48,0.6000000000000001,18.7
2021,1,1,20,30,583,73,949,21.3,993,2,41,0.6000000000000001,19.400000000000002
2021,1,1,21,30,513,70,917,21.09,993,1.4000000000000001,32,0.6000000000000001,19.400000000000002
2021,1,1,22,30,384,63,840,23.990000000000002,993,1,187,0.7000000000000001,18.6
2021,1,1,23,30,219,52,697,30.22,994,0.7000000000000001,344,0.7000000000000001,18
2021,1,2,0,30,46,26,287,48.81,995,1.1,324,0.8,13.5
2021,1,2,1,30,0,0,0,52.51,995,1.3,340,0.8,12.100000000000001
2021,1,2,2,30,0,0,0,55.44,996,1.4000000000000001,182,0.9,11.3
2021,1,2,3,30,0,0,0,55.14,996,1.4000000000000001,28,1,11.100000000000001
2021,1,2,4,30,0,0,0,54.11,996,1.4000000000000001,53,1.1,11.100000000000001
2021,1,2,5,30,0,0,0,54.22,996,1.3,68,1.1,11
2021,1,2,6,30,0,0,0,55.1,996,1.1,68,1.1,10.8
2021,1,2,7,30,0,0,0,56.53,997,1,59,1,10.700000000000001
2021,1,2,8,30,0,0,0,57.99,997,1.3,68,1,10.4
2021,1,2,9,30,0,0,0,57.59,996,1.6,93,0.9,10.200000000000001
2021,1,2,10,30,0,0,0,61.49,996,1.5,109,0.9,10.100000000000001
